"","Gene","seqnames","start","end","width","strand","ranges"
"69","AT1G01390","1",148120,149806,1687,"-","148120-149806"
"70","AT1G01400","1",150689,152210,1522,"-","150689-152210"
"71","AT1G01410","1",153113,154198,1086,"+","153113-154198"
"72","AT1G01420","1",154492,156011,1520,"-","154492-156011"
"73","AT1G01430","1",156801,158655,1855,"-","156801-158655"
"74","AT1G01440","1",159856,162572,2717,"-","159856-162572"
"76","AT1G01448","1",163431,166239,2809,"+","163431-166239"
"78","AT1G01450","1",164105,165517,1413,"-","164105-165517"
"79","AT1G01453","1",166589,167842,1254,"-","166589-167842"
"81","AT1G01460","1",168723,171165,2443,"+","168723-171165"
"82","AT1G01470","1",172146,172948,803,"-","172146-172948"
"83","AT1G01471","1",173251,173466,216,"+","173251-173466"
"84","AT1G01480","1",175782,178400,2619,"+","175782-178400"
"87","AT1G01490","1",180120,182358,2239,"-","180120-182358"
"88","AT1G01500","1",185133,186923,1791,"+","185133-186923"
"89","AT1G01510","1",187211,190056,2846,"+","187211-190056"
"90","AT1G01520","1",190596,192139,1544,"+","190596-192139"
"91","AT1G01530","1",192640,193670,1031,"-","192640-193670"
"93","AT1G01540","1",195812,198635,2824,"+","195812-198635"
"94","AT1G01550","1",199639,201775,2137,"+","199639-201775"
"97","AT1G01560","1",202136,204335,2200,"+","202136-204335"
"98","AT1G01570","1",205176,207435,2260,"+","205176-207435"
"99","AT1G01580","1",209395,213041,3647,"+","209395-213041"
"100","AT1G01590","1",214229,217304,3076,"+","214229-217304"
"101","AT1G01600","1",218994,221286,2293,"+","218994-221286"
"102","AT1G01610","1",221691,224340,2650,"-","221691-224340"
"103","AT1G01620","1",225665,227302,1638,"-","225665-227302"
"105","AT1G01630","1",229013,230917,1905,"+","229013-230917"
"107","AT1G01640","1",230994,232508,1515,"-","230994-232508"
"108","AT1G01650","1",232841,237817,4977,"-","232841-237817"
"110","AT1G01660","1",240057,242608,2552,"-","240057-242608"
"111","AT1G01670","1",242843,245988,3146,"-","242843-245988"
"112","AT1G01680","1",246411,248367,1957,"-","246411-248367"
"113","AT1G01690","1",249141,252462,3322,"+","249141-252462"
"114","AT1G01695","1",252947,254495,1549,"+","252947-254495"
"115","AT1G01700","1",259495,261474,1980,"-","259495-261474"
"116","AT1G01710","1",262828,267771,4944,"+","262828-267771"
"117","AT1G01720","1",268330,269819,1490,"+","268330-269819"
"118","AT1G01725","1",269792,270775,984,"-","269792-270775"
"119","AT1G01730","1",270956,272061,1106,"+","270956-272061"
"120","AT1G01740","1",272111,274569,2459,"-","272111-274569"
"122","AT1G01750","1",275366,276310,945,"+","275366-276310"
"123","AT1G01760","1",276266,278448,2183,"-","276266-278448"
"124","AT1G01770","1",278615,282891,4277,"+","278615-282891"
"125","AT1G01780","1",282761,284245,1485,"+","282761-284245"
"126","AT1G01790","1",284610,291094,6485,"+","284610-291094"
"127","AT1G01800","1",293342,295040,1699,"+","293342-295040"
"129","AT1G01810","1",295221,295859,639,"+","295221-295859"
"130","AT1G01820","1",296001,298120,2120,"-","296001-298120"
"131","AT1G01830","1",298535,300729,2195,"-","298535-300729"
"134","AT1G01840","1",303537,304358,822,"+","303537-304358"
"135","AT1G01860","1",304133,306287,2155,"-","304133-306287"
"136","AT1G01870","1",306384,306456,73,"+","306384-306456"
"137","AT1G01880","1",306480,309109,2630,"-","306480-309109"
"139","AT1G01890","1",309275,309347,73,"-","309275-309347"
"140","AT1G01900","1",310316,313130,2815,"+","310316-313130"
"143","AT1G01910","1",313215,315902,2688,"-","313215-315902"
"147","AT1G01920","1",316187,319644,3458,"+","316187-319644"
"148","AT1G01930","1",319836,322860,3025,"-","319836-322860"
"149","AT1G01940","1",323027,324917,1891,"+","323027-324917"
"150","AT1G01950","1",325379,330619,5241,"+","325379-330619"
"153","AT1G01960","1",330588,337582,6995,"-","330588-337582"
"154","AT1G01970","1",338291,340077,1787,"+","338291-340077"
"155","AT1G01980","1",340172,341999,1828,"-","340172-341999"
"156","AT1G01990","1",343166,344341,1176,"-","343166-344341"
"157","AT1G02000","1",345812,347592,1781,"+","345812-347592"
"158","AT1G02010","1",347891,352480,4590,"+","347891-352480"
"160","AT1G02020","1",352637,354969,2333,"-","352637-354969"
"162","AT1G02030","1",355321,357258,1938,"-","355321-357258"
"163","AT1G02040","1",358104,359078,975,"-","358104-359078"
"164","AT1G02050","1",359117,360518,1402,"-","359117-360518"
"165","AT1G02060","1",360918,363094,2177,"-","360918-363094"
"166","AT1G02065","1",365209,367340,2132,"+","365209-367340"
"168","AT1G02070","1",370257,370967,711,"-","370257-370967"
"169","AT1G02074","1",372064,372210,147,"+","372064-372210"
"170","AT1G02080","1",373335,386847,13513,"+","373335-386847"
"172","AT1G02090","1",387277,389647,2371,"-","387277-389647"
"175","AT1G02100","1",389812,392816,3005,"+","389812-392816"
"178","AT1G02110","1",392831,395528,2698,"+","392831-395528"
"179","AT1G02120","1",395761,399897,4137,"+","395761-399897"
"180","AT1G02130","1",400035,401882,1848,"-","400035-401882"
"181","AT1G02136","1",402693,402961,269,"-","402693-402961"
"182","AT1G02140","1",403190,404456,1267,"-","403190-404456"
"183","AT1G02145","1",404600,408619,4020,"+","404600-408619"
"187","AT1G02150","1",408622,410611,1990,"+","408622-410611"
"188","AT1G02160","1",410748,411597,850,"+","410748-411597"
"190","AT1G02170","1",411779,413554,1776,"+","411779-413554"
"191","AT1G02180","1",413522,414645,1124,"-","413522-414645"
"192","AT1G02190","1",415079,418010,2932,"+","415079-418010"
"195","AT1G02205","1",418767,422437,3671,"+","418767-422437"
"197","AT1G02210","1",427548,427811,264,"-","427548-427811"
"198","AT1G02220","1",428814,430647,1834,"-","428814-430647"
"200","AT1G02230","1",435174,436776,1603,"-","435174-436776"
"201","AT1G02250","1",437951,439559,1609,"-","437951-439559"
"202","AT1G02260","1",440441,442877,2437,"-","440441-442877"
"203","AT1G02270","1",443149,446235,3087,"-","443149-446235"
"204","AT1G02280","1",448463,450425,1963,"-","448463-450425"
"206","AT1G02290","1",450527,452737,2211,"-","450527-452737"
"207","AT1G02300","1",453288,455463,2176,"+","453288-455463"
"208","AT1G02305","1",455688,458164,2477,"+","455688-458164"
"209","AT1G02310","1",458133,460696,2564,"-","458133-460696"
"210","AT1G02320","1",461828,461974,147,"+","461828-461974"
"211","AT1G02330","1",462075,463612,1538,"-","462075-463612"
"212","AT1G02335","1",463855,464924,1070,"-","463855-464924"
"213","AT1G02340","1",465718,467844,2127,"-","465718-467844"
"214","AT1G02350","1",469818,470693,876,"+","469818-470693"
"215","AT1G02360","1",471990,473160,1171,"-","471990-473160"
"216","AT1G02370","1",474500,476511,2012,"+","474500-476511"
"217","AT1G02380","1",477000,478971,1972,"+","477000-478971"
"218","AT1G02390","1",480852,483292,2441,"+","480852-483292"
"219","AT1G02391","1",483764,483919,156,"-","483764-483919"
"220","AT1G02400","1",486801,489577,2777,"+","486801-489577"
"221","AT1G02405","1",489979,490505,527,"-","489979-490505"
"222","AT1G02410","1",490925,492926,2002,"+","490925-492926"
"223","AT1G02420","1",493683,495158,1476,"+","493683-495158"
"224","AT1G02430","1",495050,496062,1013,"-","495050-496062"
"225","AT1G02440","1",496586,497479,894,"-","496586-497479"
"226","AT1G02450","1",497976,498516,541,"-","497976-498516"
"227","AT1G02460","1",504673,507204,2532,"-","504673-507204"
"229","AT1G02470","1",511765,513624,1860,"-","511765-513624"
"230","AT1G02475","1",513843,515404,1562,"-","513843-515404"
"231","AT1G02480","1",515494,515566,73,"+","515494-515566"
"232","AT1G02490","1",516618,516734,117,"+","516618-516734"
"233","AT1G02500","1",518251,520437,2187,"+","518251-520437"
"235","AT1G02510","1",520498,521668,1171,"-","520498-521668"
"236","AT1G02520","1",523651,528745,5095,"+","523651-528745"
"237","AT1G02530","1",529795,534677,4883,"+","529795-534677"
"238","AT1G02540","1",534827,535699,873,"-","534827-535699"
"239","AT1G02550","1",536483,537211,729,"+","536483-537211"
"240","AT1G02560","1",537860,540109,2250,"+","537860-540109"
"241","AT1G02570","1",541335,542240,906,"+","541335-542240"
"242","AT1G02575","1",543110,544007,898,"+","543110-544007"
"243","AT1G02580","1",544783,549202,4420,"+","544783-549202"
"244","AT1G02590","1",552138,552761,624,"-","552138-552761"
"245","AT1G02600","1",552640,552711,72,"+","552640-552711"
"246","AT1G02610","1",553050,555994,2945,"-","553050-555994"
"247","AT1G02620","1",557092,557986,895,"+","557092-557986"
"249","AT1G02630","1",560610,562424,1815,"-","560610-562424"
"250","AT1G02640","1",564205,567769,3565,"+","564205-567769"
"251","AT1G02650","1",568704,570418,1715,"+","568704-570418"
"252","AT1G02660","1",571955,574981,3027,"-","571955-574981"
"253","AT1G02670","1",576046,580299,4254,"+","576046-580299"
"254","AT1G02680","1",580625,582310,1686,"+","580625-582310"
"255","AT1G02681","1",582413,582922,510,"+","582413-582922"
"256","AT1G02690","1",584260,587219,2960,"+","584260-587219"
"258","AT1G02700","1",588329,589480,1152,"+","588329-589480"
"259","AT1G02710","1",589706,589996,291,"-","589706-589996"
"261","AT1G02720","1",591826,594236,2411,"+","591826-594236"
"262","AT1G02730","1",594573,598657,4085,"-","594573-598657"
"263","AT1G02740","1",599416,602038,2623,"-","599416-602038"
"264","AT1G02750","1",602497,604292,1796,"+","602497-604292"
"266","AT1G02760","1",604402,604474,73,"+","604402-604474"
"267","AT1G02770","1",604873,606693,1821,"-","604873-606693"
"268","AT1G02780","1",607808,609465,1658,"-","607808-609465"
"269","AT1G02790","1",610391,612324,1934,"-","610391-612324"
"270","AT1G02800","1",613216,616191,2976,"-","613216-616191"
"271","AT1G02810","1",618265,620480,2216,"+","618265-620480"
"272","AT1G02813","1",620678,621289,612,"+","620678-621289"
"273","AT1G02816","1",621461,622469,1009,"+","621461-622469"
"274","AT1G02820","1",623765,624475,711,"-","623765-624475"
"275","AT1G02830","1",625145,625608,464,"-","625145-625608"
"276","AT1G02840","1",626741,629819,3079,"+","626741-629819"
"279","AT1G02850","1",630505,633259,2755,"+","630505-633259"
"284","AT1G02860","1",635144,637262,2119,"+","635144-637262"
"286","AT1G02870","1",637214,638677,1464,"-","637214-638677"
"287","AT1G02880","1",642752,644521,1770,"-","642752-644521"
"291","AT1G02890","1",645092,651907,6816,"-","645092-651907"
"293","AT1G02900","1",653765,654343,579,"-","653765-654343"
"294","AT1G02910","1",655577,658148,2572,"-","655577-658148"
"295","AT1G02920","1",658657,659771,1115,"-","658657-659771"
"296","AT1G02930","1",661177,662427,1251,"-","661177-662427"
"298","AT1G02940","1",663079,664128,1050,"-","663079-664128"
"300","AT1G02950","1",665168,666451,1284,"-","665168-666451"
"303","AT1G02952","1",665354,666367,1014,"+","665354-666367"
"305","AT1G02960","1",666872,669837,2966,"-","666872-669837"
"307","AT1G02965","1",671661,672814,1154,"-","671661-672814"
"308","AT1G02970","1",673306,676378,3073,"+","673306-676378"
"309","AT1G02980","1",677869,681310,3442,"+","677869-681310"
"310","AT1G02990","1",681396,687315,5920,"-","681396-687315"
"313","AT1G03000","1",687890,692560,4671,"-","687890-692560"
"314","AT1G03010","1",693480,696382,2903,"+","693480-696382"
"315","AT1G03020","1",698207,698515,309,"-","698207-698515"
"316","AT1G03022","1",699121,699246,126,"+","699121-699246"
"317","AT1G03030","1",701478,703864,2387,"+","701478-703864"
"319","AT1G03040","1",703906,706631,2726,"-","703906-706631"
"320","AT1G03050","1",707726,710041,2316,"+","707726-710041"
"321","AT1G03055","1",710018,711803,1786,"-","710018-711803"
"323","AT1G03060","1",712473,726891,14419,"-","712473-726891"
"325","AT1G03070","1",729935,731557,1623,"+","729935-731557"
"326","AT1G03080","1",731611,738056,6446,"-","731611-738056"
"327","AT1G03090","1",739679,744184,4506,"+","739679-744184"
"329","AT1G03100","1",743885,746479,2595,"-","743885-746479"
"330","AT1G03103","1",747197,748057,861,"+","747197-748057"
"331","AT1G03106","1",748102,749034,933,"-","748102-749034"
"332","AT1G03110","1",749246,751963,2718,"+","749246-751963"
"333","AT1G03120","1",752271,753140,870,"+","752271-753140"
"334","AT1G03130","1",753307,754198,892,"-","753307-754198"
"335","AT1G03140","1",754371,756303,1933,"-","754371-756303"
"336","AT1G03150","1",756414,758612,2199,"+","756414-758612"
"337","AT1G03160","1",761282,766153,4872,"+","761282-766153"
"339","AT1G03170","1",769632,770684,1053,"+","769632-770684"
"340","AT1G03180","1",773411,775344,1934,"+","773411-775344"
"342","AT1G03190","1",775527,780027,4501,"+","775527-780027"
"344","AT1G03200","1",780602,781285,684,"+","780602-781285"
"345","AT1G03210","1",782948,784240,1293,"+","782948-784240"
"346","AT1G03220","1",787122,788651,1530,"+","787122-788651"
"347","AT1G03230","1",790091,791592,1502,"+","790091-791592"
"348","AT1G03240","1",792222,792986,765,"-","792222-792986"
"349","AT1G03250","1",793353,795368,2016,"-","793353-795368"
"351","AT1G03260","1",795532,798463,2932,"-","795532-798463"
"352","AT1G03270","1",799191,802436,3246,"+","799191-802436"
"353","AT1G03280","1",803035,807066,4032,"+","803035-807066"
"355","AT1G03290","1",807396,810690,3295,"+","807396-810690"
"356","AT1G03300","1",811033,813086,2054,"-","811033-813086"
"357","AT1G03310","1",813471,816749,3279,"+","813471-816749"
"359","AT1G03320","1",817027,817767,741,"+","817027-817767"
"360","AT1G03330","1",817983,819563,1581,"-","817983-819563"
"361","AT1G03340","1",819662,821317,1656,"+","819662-821317"
"362","AT1G03350","1",822638,824393,1756,"-","822638-824393"
"363","AT1G03360","1",824537,826358,1822,"+","824537-826358"
"364","AT1G03365","1",826569,830383,3815,"+","826569-830383"
"365","AT1G03370","1",830627,835361,4735,"+","830627-835361"
"366","AT1G03380","1",835785,840940,5156,"+","835785-840940"
"367","AT1G03390","1",841033,842418,1386,"-","841033-842418"
"368","AT1G03400","1",842747,844190,1444,"-","842747-844190"
"369","AT1G03410","1",844436,847683,3248,"-","844436-847683"
"371","AT1G03430","1",847873,849500,1628,"+","847873-849500"
"372","AT1G03440","1",852366,854032,1667,"+","852366-854032"
"373","AT1G03445","1",854410,859701,5292,"-","854410-859701"
"375","AT1G03457","1",860788,864125,3338,"-","860788-864125"
"377","AT1G03470","1",865915,867733,1819,"-","865915-867733"
"378","AT1G03475","1",869051,871211,2161,"-","869051-871211"
"379","AT1G03490","1",871874,872906,1033,"+","871874-872906"
"380","AT1G03495","1",873184,874935,1752,"+","873184-874935"
"381","AT1G03502","1",875358,875471,114,"-","875358-875471"
"382","AT1G03506","1",875518,875604,87,"-","875518-875604"
"383","AT1G03510","1",876258,877547,1290,"-","876258-877547"
"384","AT1G03515","1",877648,877719,72,"+","877648-877719"
"385","AT1G03520","1",877862,880158,2297,"-","877862-880158"
"387","AT1G03530","1",880496,883391,2896,"-","880496-883391"
"388","AT1G03540","1",883782,885611,1830,"+","883782-885611"
"389","AT1G03545","1",885941,887906,1966,"+","885941-887906"
"390","AT1G03550","1",885623,887956,2334,"-","885623-887956"
"391","AT1G03560","1",890156,892410,2255,"-","890156-892410"
"392","AT1G03570","1",892514,892585,72,"+","892514-892585"
"393","AT1G03580","1",892847,894052,1206,"+","892847-894052"
"394","AT1G03590","1",894254,897518,3265,"-","894254-897518"
"395","AT1G03600","1",898876,899655,780,"+","898876-899655"
"396","AT1G03610","1",900887,903003,2117,"+","900887-903003"
"397","AT1G03620","1",904319,906186,1868,"-","904319-906186"
"398","AT1G03630","1",907642,909376,1735,"+","907642-909376"
"400","AT1G03640","1",909811,909883,73,"-","909811-909883"
"401","AT1G03650","1",910023,911193,1171,"-","910023-911193"
"402","AT1G03660","1",911436,911759,324,"-","911436-911759"
"403","AT1G03670","1",914222,916222,2001,"-","914222-916222"
"404","AT1G03680","1",916819,918064,1246,"-","916819-918064"
"406","AT1G03687","1",918299,920507,2209,"+","918299-920507"
"407","AT1G03700","1",920950,921901,952,"+","920950-921901"
"409","AT1G03710","1",923426,924726,1301,"+","923426-924726"
"410","AT1G03720","1",924996,926373,1378,"-","924996-926373"
"411","AT1G03730","1",930828,931895,1068,"-","930828-931895"
"412","AT1G03740","1",933512,937043,3532,"+","933512-937043"
"414","AT1G03743","1",937207,937287,81,"-","937207-937287"
"415","AT1G03746","1",937401,937485,85,"-","937401-937485"
"416","AT1G03750","1",937920,941162,3243,"+","937920-941162"
"417","AT1G03760","1",941062,943377,2316,"-","941062-943377"
"419","AT1G03770","1",944595,947482,2888,"+","944595-947482"
"423","AT1G03780","1",947658,951730,4073,"-","947658-951730"
"424","AT1G03790","1",954525,956097,1573,"+","954525-956097"
"425","AT1G03800","1",957261,957998,738,"-","957261-957998"
"426","AT1G03810","1",958759,959609,851,"+","958759-959609"
"427","AT1G03820","1",959869,960728,860,"-","959869-960728"
"429","AT1G03830","1",962033,966622,4590,"-","962033-966622"
"430","AT1G03840","1",967503,970130,2628,"-","967503-970130"
"432","AT1G03850","1",976097,977761,1665,"-","976097-977761"
"436","AT1G03860","1",979308,981885,2578,"-","979308-981885"
"437","AT1G03870","1",982506,983540,1035,"-","982506-983540"
"438","AT1G03880","1",985751,988146,2396,"+","985751-988146"
"439","AT1G03890","1",989198,991020,1823,"+","989198-991020"
"440","AT1G03900","1",991139,993118,1980,"+","991139-993118"
"441","AT1G03905","1",993400,995784,2385,"+","993400-995784"
"442","AT1G03910","1",996115,1000231,4117,"+","996115-1000231"
"444","AT1G03920","1",1001321,1004383,3063,"+","1001321-1004383"
"445","AT1G03930","1",1004769,1008370,3602,"+","1004769-1008370"
"446","AT1G03935","1",1008810,1008896,87,"+","1008810-1008896"
"447","AT1G03940","1",1009542,1011056,1515,"-","1009542-1011056"
"448","AT1G03950","1",1011172,1013365,2194,"-","1011172-1013365"
"449","AT1G03960","1",1013715,1017929,4215,"+","1013715-1017929"
"451","AT1G03970","1",1018100,1019247,1148,"+","1018100-1019247"
"452","AT1G03980","1",1018570,1022108,3539,"-","1018570-1022108"
"453","AT1G03982","1",1022251,1023719,1469,"-","1022251-1023719"
"454","AT1G03990","1",1024847,1027616,2770,"+","1024847-1027616"
"455","AT1G04000","1",1028106,1029119,1014,"-","1028106-1029119"
"456","AT1G04010","1",1031200,1036237,5038,"-","1031200-1036237"
"457","AT1G04020","1",1036537,1040224,3688,"+","1036537-1040224"
"459","AT1G04030","1",1040383,1042892,2510,"+","1040383-1042892"
"460","AT1G04040","1",1042362,1043864,1503,"-","1042362-1043864"
"461","AT1G04050","1",1045598,1049297,3700,"-","1045598-1049297"
"462","AT1G04070","1",1050553,1051186,634,"-","1050553-1051186"
"464","AT1G04080","1",1051343,1056751,5409,"+","1051343-1056751"
"466","AT1G04090","1",1057151,1059419,2269,"+","1057151-1059419"
"467","AT1G04100","1",1059506,1061191,1686,"+","1059506-1061191"
"468","AT1G04110","1",1061457,1063784,2328,"-","1061457-1063784"
"470","AT1G04120","1",1064454,1070927,6474,"-","1064454-1070927"
"471","AT1G04130","1",1073427,1075568,2142,"+","1073427-1075568"
"472","AT1G04140","1",1075543,1080630,5088,"-","1075543-1080630"
"474","AT1G04150","1",1081208,1084246,3039,"-","1081208-1084246"
"475","AT1G04160","1",1086495,1096146,9652,"+","1086495-1096146"
"476","AT1G04170","1",1096946,1099898,2953,"+","1096946-1099898"
"477","AT1G04171","1",1100444,1100608,165,"-","1100444-1100608"
"478","AT1G04180","1",1104623,1105988,1366,"+","1104623-1105988"
"479","AT1G04190","1",1106428,1108715,2288,"-","1106428-1108715"
"480","AT1G04200","1",1109482,1114107,4626,"+","1109482-1114107"
"481","AT1G04210","1",1114405,1119739,5335,"+","1114405-1119739"
"482","AT1G04220","1",1119699,1122526,2828,"-","1119699-1122526"
"483","AT1G04230","1",1125518,1128168,2651,"+","1125518-1128168"
"484","AT1G04240","1",1128188,1129551,1364,"-","1128188-1129551"
"485","AT1G04250","1",1136258,1138613,2356,"+","1136258-1138613"
"486","AT1G04260","1",1140528,1141365,838,"-","1140528-1141365"
"488","AT1G04270","1",1141604,1143053,1450,"-","1141604-1143053"
"489","AT1G04280","1",1143436,1146654,3219,"-","1143436-1146654"
"490","AT1G04290","1",1147523,1148533,1011,"-","1147523-1148533"
"491","AT1G04295","1",1147781,1148435,655,"+","1147781-1148435"
"493","AT1G04300","1",1148659,1154652,5994,"-","1148659-1154652"
"496","AT1G04310","1",1154764,1157711,2948,"-","1154764-1157711"
"497","AT1G04320","1",1159023,1159093,71,"+","1159023-1159093"
"498","AT1G04330","1",1161311,1161982,672,"-","1161311-1161982"
"499","AT1G04340","1",1163097,1164851,1755,"-","1163097-1164851"
"500","AT1G04350","1",1165165,1166768,1604,"+","1165165-1166768"
"501","AT1G04360","1",1167457,1168878,1422,"-","1167457-1168878"
"502","AT1G04370","1",1175177,1175578,402,"+","1175177-1175578"
"503","AT1G04380","1",1176921,1178407,1487,"-","1176921-1178407"
"504","AT1G04390","1",1179363,1183704,4342,"-","1179363-1183704"
"505","AT1G04400","1",1185550,1188517,2968,"-","1185550-1188517"
"507","AT1G04410","1",1189078,1191412,2335,"-","1189078-1191412"
"508","AT1G04420","1",1191608,1193884,2277,"+","1191608-1193884"
"509","AT1G04425","1",1194187,1196889,2703,"+","1194187-1196889"
"510","AT1G04430","1",1198118,1201527,3410,"+","1198118-1201527"
"512","AT1G04440","1",1202255,1205803,3549,"+","1202255-1205803"
"513","AT1G04445","1",1207344,1207862,519,"+","1207344-1207862"
"514","AT1G04450","1",1208521,1209874,1354,"+","1208521-1209874"
"515","AT1G04457","1",1210319,1210549,231,"-","1210319-1210549"
"516","AT1G04470","1",1211049,1214662,3614,"-","1211049-1214662"
"517","AT1G04480","1",1216095,1217467,1373,"+","1216095-1217467"
"519","AT1G04490","1",1218005,1219914,1910,"-","1218005-1219914"
"520","AT1G04500","1",1221433,1224366,2934,"-","1221433-1224366"
"521","AT1G04501","1",1224552,1224680,129,"+","1224552-1224680"
"522","AT1G04510","1",1226575,1230827,4253,"+","1226575-1230827"
"524","AT1G04520","1",1231578,1234032,2455,"+","1231578-1234032"
"525","AT1G04530","1",1234176,1236034,1859,"-","1234176-1236034"
"526","AT1G04540","1",1237256,1239061,1806,"+","1237256-1239061"
"527","AT1G04550","1",1240375,1242120,1746,"+","1240375-1242120"
"529","AT1G04555","1",1242558,1244244,1687,"+","1242558-1244244"
"530","AT1G04560","1",1244947,1246059,1113,"+","1244947-1246059"
"531","AT1G04570","1",1246728,1248775,2048,"-","1246728-1248775"
"532","AT1G04580","1",1252122,1257510,5389,"-","1252122-1257510"
"533","AT1G04590","1",1258577,1261426,2850,"-","1258577-1261426"
"535","AT1G04600","1",1262123,1272376,10254,"+","1262123-1272376"
"536","AT1G04610","1",1279388,1281618,2231,"+","1279388-1281618"
"537","AT1G04620","1",1282741,1286584,3844,"-","1282741-1286584"
"538","AT1G04625","1",1287831,1289820,1990,"-","1287831-1289820"
"539","AT1G04630","1",1289734,1291112,1379,"-","1289734-1291112"
"540","AT1G04635","1",1291314,1291995,682,"+","1291314-1291995"
"541","AT1G04640","1",1292080,1293357,1278,"+","1292080-1293357"
"543","AT1G04645","1",1293770,1294263,494,"-","1293770-1294263"
"544","AT1G04650","1",1294893,1299002,4110,"-","1294893-1299002"
"545","AT1G04660","1",1300486,1301773,1288,"-","1300486-1301773"
"546","AT1G04670","1",1301861,1302724,864,"+","1301861-1302724"
"547","AT1G04680","1",1303529,1307884,4356,"-","1303529-1307884"
"548","AT1G04684","1",1310430,1310579,150,"-","1310430-1310579"
"549","AT1G04690","1",1313564,1315750,2187,"+","1313564-1315750"
"550","AT1G04700","1",1316254,1320919,4666,"+","1316254-1320919"
"551","AT1G04710","1",1321904,1324782,2879,"+","1321904-1324782"
"552","AT1G04720","1",1324923,1324960,38,"+","1324923-1324960"
"553","AT1G04730","1",1325296,1331086,5791,"-","1325296-1331086"
"554","AT1G04750","1",1331466,1333567,2102,"-","1331466-1333567"
"556","AT1G04760","1",1334760,1336070,1311,"+","1334760-1336070"
"557","AT1G04770","1",1336371,1337849,1479,"-","1336371-1337849"
"558","AT1G04778","1",1339892,1340327,436,"+","1339892-1340327"
"559","AT1G04780","1",1340669,1343584,2916,"-","1340669-1343584"
"560","AT1G04790","1",1345036,1348451,3416,"+","1345036-1348451"
"561","AT1G04800","1",1348452,1349286,835,"-","1348452-1349286"
"562","AT1G04810","1",1350180,1355442,5263,"+","1350180-1355442"
"563","AT1G04820","1",1356191,1358386,2196,"-","1356191-1358386"
"565","AT1G04830","1",1358917,1361981,3065,"-","1358917-1361981"
"566","AT1G04840","1",1362867,1364962,2096,"-","1362867-1364962"
"567","AT1G04850","1",1365118,1368844,3727,"-","1365118-1368844"
"568","AT1G04860","1",1369054,1373101,4048,"-","1369054-1373101"
"569","AT1G04870","1",1373234,1375742,2509,"-","1373234-1375742"
"571","AT1G04880","1",1375961,1379185,3225,"-","1375961-1379185"
"572","AT1G04890","1",1380382,1382599,2218,"-","1380382-1382599"
"573","AT1G04900","1",1383841,1387895,4055,"+","1383841-1387895"
"574","AT1G04910","1",1387871,1391187,3317,"-","1387871-1391187"
"575","AT1G04920","1",1391502,1395864,4363,"-","1391502-1395864"
