"","Gene","seqnames","start","end","width","strand","ranges"
"4620","AT1G32500","1",11749823,11752106,2284,"-","11749823-11752106"
"4621","AT1G32505","1",11753254,11754123,870,"+","11753254-11754123"
"4622","AT1G32510","1",11757000,11758118,1119,"+","11757000-11758118"
"4623","AT1G32520","1",11758211,11759280,1070,"-","11758211-11759280"
"4624","AT1G32530","1",11759459,11762607,3149,"-","11759459-11762607"
"4625","AT1G32540","1",11767504,11769880,2377,"+","11767504-11769880"
"4628","AT1G32550","1",11771766,11774187,2422,"-","11771766-11774187"
"4630","AT1G32560","1",11774484,11775279,796,"+","11774484-11775279"
"4632","AT1G32570","1",11776856,11777557,702,"+","11776856-11777557"
"4633","AT1G32580","1",11784057,11785637,1581,"+","11784057-11785637"
"4634","AT1G32582","1",11785936,11786037,102,"+","11785936-11786037"
"4635","AT1G32583","1",11785806,11788286,2481,"+","11785806-11788286"
"4636","AT1G32585","1",11788515,11789177,663,"-","11788515-11789177"
"4637","AT1G32590","1",11789768,11793772,4005,"+","11789768-11793772"
"4638","AT1G32600","1",11794802,11795683,882,"+","11794802-11795683"
"4639","AT1G32610","1",11795609,11797141,1533,"-","11795609-11797141"
"4641","AT1G32620","1",11797248,11797285,38,"-","11797248-11797285"
"4642","AT1G32630","1",11797335,11798602,1268,"+","11797335-11798602"
"4643","AT1G32640","1",11798810,11800988,2179,"-","11798810-11800988"
"4644","AT1G32650","1",11810557,11810631,75,"-","11810557-11810631"
"4645","AT1G32660","1",11811040,11812380,1341,"+","11811040-11812380"
"4646","AT1G32670","1",11815664,11815976,313,"+","11815664-11815976"
"4647","AT1G32680","1",11818034,11818279,246,"+","11818034-11818279"
"4648","AT1G32690","1",11820908,11821710,803,"-","11820908-11821710"
"4649","AT1G32700","1",11827433,11829759,2327,"+","11827433-11829759"
"4651","AT1G32710","1",11833113,11833706,594,"+","11833113-11833706"
"4652","AT1G32713","1",11834068,11834180,113,"-","11834068-11834180"
"4653","AT1G32720","1",11834902,11836631,1730,"+","11834902-11836631"
"4654","AT1G32730","1",11840910,11843257,2348,"+","11840910-11843257"
"4655","AT1G32740","1",11844877,11846347,1471,"+","11844877-11846347"
"4656","AT1G32750","1",11846247,11856765,10519,"-","11846247-11856765"
"4657","AT1G32760","1",11858211,11859292,1082,"+","11858211-11859292"
"4658","AT1G32763","1",11860486,11860891,406,"-","11860486-11860891"
"4659","AT1G32770","1",11865343,11866950,1608,"-","11865343-11866950"
"4660","AT1G32780","1",11869825,11872926,3102,"-","11869825-11872926"
"4662","AT1G32790","1",11874927,11877387,2461,"-","11874927-11877387"
"4664","AT1G32820","1",11888389,11890377,1989,"+","11888389-11890377"
"4665","AT1G32830","1",11891181,11894820,3640,"-","11891181-11894820"
"4666","AT1G32840","1",11896546,11899695,3150,"-","11896546-11899695"
"4667","AT1G32850","1",11902629,11906900,4272,"+","11902629-11906900"
"4668","AT1G32860","1",11907109,11908928,1820,"-","11907109-11908928"
"4669","AT1G32870","1",11911679,11913947,2269,"+","11911679-11913947"
"4671","AT1G32880","1",11913928,11914735,808,"-","11913928-11914735"
"4672","AT1G32890","1",11914967,11919845,4879,"-","11914967-11919845"
"4673","AT1G32900","1",11920390,11923766,3377,"-","11920390-11923766"
"4674","AT1G32910","1",11925426,11926908,1483,"+","11925426-11926908"
"4675","AT1G32920","1",11928807,11929302,496,"+","11928807-11929302"
"4676","AT1G32928","1",11931203,11931801,599,"+","11931203-11931801"
"4677","AT1G32930","1",11931842,11934759,2918,"-","11931842-11934759"
"4678","AT1G32940","1",11937596,11940978,3383,"+","11937596-11940978"
"4679","AT1G32950","1",11941438,11944760,3323,"+","11941438-11944760"
"4680","AT1G32960","1",11945307,11948650,3344,"+","11945307-11948650"
"4681","AT1G32970","1",11948721,11951982,3262,"-","11948721-11951982"
"4682","AT1G32975","1",11953089,11953899,811,"+","11953089-11953899"
"4683","AT1G32980","1",11954278,11955362,1085,"-","11954278-11955362"
"4684","AT1G32990","1",11955785,11957284,1500,"+","11955785-11957284"
"4685","AT1G32992","1",11957460,11957730,271,"+","11957460-11957730"
"4686","AT1G33000","1",11957968,11958162,195,"+","11957968-11958162"
"4687","AT1G33010","1",11959287,11960591,1305,"+","11959287-11960591"
"4688","AT1G33020","1",11962746,11964832,2087,"+","11962746-11964832"
"4689","AT1G33030","1",11964776,11966276,1501,"-","11964776-11966276"
"4690","AT1G33040","1",11966470,11967843,1374,"+","11966470-11967843"
"4692","AT1G33050","1",11967827,11971532,3706,"-","11967827-11971532"
"4695","AT1G33055","1",11971308,11972578,1271,"-","11971308-11972578"
"4696","AT1G33060","1",11975340,11978521,3182,"-","11975340-11978521"
"4698","AT1G33070","1",11982889,11985299,2411,"+","11982889-11985299"
"4700","AT1G33080","1",11985707,11990482,4776,"+","11985707-11990482"
"4701","AT1G33090","1",11993298,11996712,3415,"+","11993298-11996712"
"4702","AT1G33100","1",11997683,12001308,3626,"+","11997683-12001308"
"4703","AT1G33102","1",12002333,12002877,545,"-","12002333-12002877"
"4705","AT1G33110","1",12004927,12008833,3907,"+","12004927-12008833"
"4706","AT1G33120","1",12010901,12012524,1624,"+","12010901-12012524"
"4707","AT1G33130","1",12016651,12018654,2004,"-","12016651-12018654"
"4708","AT1G33135","1",12018683,12019195,513,"+","12018683-12019195"
"4709","AT1G33140","1",12023275,12024783,1509,"+","12023275-12024783"
"4710","AT1G33160","1",12024806,12025328,523,"+","12024806-12025328"
"4711","AT1G33170","1",12027084,12030539,3456,"+","12027084-12030539"
"4712","AT1G33180","1",12030585,12030892,308,"+","12030585-12030892"
"4713","AT1G33190","1",12033887,12034755,869,"-","12033887-12034755"
"4714","AT1G33200","1",12041779,12044690,2912,"+","12041779-12044690"
"4715","AT1G33220","1",12044872,12045879,1008,"+","12044872-12045879"
"4716","AT1G33230","1",12046641,12050066,3426,"+","12046641-12050066"
"4717","AT1G33240","1",12051471,12054546,3076,"-","12051471-12054546"
"4718","AT1G33250","1",12057250,12059485,2236,"-","12057250-12059485"
"4719","AT1G33260","1",12064509,12066376,1868,"+","12064509-12066376"
"4721","AT1G33265","1",12066595,12068075,1481,"+","12066595-12068075"
"4722","AT1G33270","1",12068063,12070374,2312,"-","12068063-12070374"
"4724","AT1G33280","1",12072741,12073839,1099,"+","12072741-12073839"
"4725","AT1G33290","1",12074099,12076104,2006,"+","12074099-12076104"
"4727","AT1G33300","1",12080513,12080824,312,"-","12080513-12080824"
"4728","AT1G33320","1",12081009,12083462,2454,"+","12081009-12083462"
"4729","AT1G33330","1",12084951,12086528,1578,"+","12084951-12086528"
"4730","AT1G33340","1",12087580,12088958,1379,"+","12087580-12088958"
"4731","AT1G33350","1",12089403,12091687,2285,"-","12089403-12091687"
"4732","AT1G33360","1",12091877,12096025,4149,"+","12091877-12096025"
"4733","AT1G33370","1",12097279,12097347,69,"-","12097279-12097347"
"4734","AT1G33380","1",12099096,12099378,283,"-","12099096-12099378"
"4735","AT1G33390","1",12099482,12104601,5120,"-","12099482-12104601"
"4736","AT1G33400","1",12104784,12109524,4741,"-","12104784-12109524"
"4737","AT1G33410","1",12109590,12118850,9261,"-","12109590-12118850"
"4739","AT1G33415","1",12118992,12126593,7602,"+","12118992-12126593"
"4741","AT1G33420","1",12120886,12123576,2691,"-","12120886-12123576"
"4743","AT1G33430","1",12124363,12126469,2107,"-","12124363-12126469"
"4744","AT1G33440","1",12127389,12130407,3019,"-","12127389-12130407"
"4745","AT1G33450","1",12139228,12139780,553,"+","12139228-12139780"
"4746","AT1G33460","1",12140012,12142760,2749,"-","12140012-12142760"
"4747","AT1G33470","1",12144515,12147208,2694,"+","12144515-12147208"
"4749","AT1G33475","1",12147276,12148249,974,"-","12147276-12148249"
"4750","AT1G33480","1",12148602,12150263,1662,"-","12148602-12150263"
"4751","AT1G33490","1",12150690,12152394,1705,"-","12150690-12152394"
"4752","AT1G33500","1",12152573,12154715,2143,"+","12152573-12154715"
"4753","AT1G33510","1",12155845,12156871,1027,"-","12155845-12156871"
"4754","AT1G33520","1",12157156,12158953,1798,"-","12157156-12158953"
"4755","AT1G33530","1",12159884,12161314,1431,"+","12159884-12161314"
"4756","AT1G33540","1",12162349,12164700,2352,"-","12162349-12164700"
"4757","AT1G33550","1",12166398,12166621,224,"-","12166398-12166621"
"4758","AT1G33560","1",12168768,12172005,3238,"+","12168768-12172005"
"4759","AT1G33570","1",12173002,12174499,1498,"-","12173002-12174499"
"4760","AT1G33580","1",12174773,12176059,1287,"-","12174773-12176059"
"4761","AT1G33590","1",12177777,12179413,1637,"+","12177777-12179413"
"4762","AT1G33600","1",12180776,12182363,1588,"+","12180776-12182363"
"4763","AT1G33607","1",12187018,12187423,406,"-","12187018-12187423"
"4764","AT1G33610","1",12188910,12190418,1509,"+","12188910-12190418"
"4765","AT1G33612","1",12191312,12192849,1538,"+","12191312-12192849"
"4766","AT1G33615","1",12193325,12194374,1050,"-","12193325-12194374"
"4767","AT1G33640","1",12195722,12195970,249,"-","12195722-12195970"
"4768","AT1G33660","1",12197701,12198322,622,"-","12197701-12198322"
"4769","AT1G33670","1",12201963,12203408,1446,"+","12201963-12203408"
"4770","AT1G33680","1",12203945,12208698,4754,"+","12203945-12208698"
"4771","AT1G33700","1",12208308,12214182,5875,"-","12208308-12214182"
"4773","AT1G33709","1",12219371,12219502,132,"-","12219371-12219502"
"4774","AT1G33710","1",12219657,12220289,633,"+","12219657-12220289"
"4775","AT1G33720","1",12220897,12224000,3104,"-","12220897-12224000"
"4776","AT1G33730","1",12227279,12228460,1182,"+","12227279-12228460"
"4777","AT1G33740","1",12230180,12230430,251,"-","12230180-12230430"
"4778","AT1G33743","1",12231684,12232532,849,"+","12231684-12232532"
"4779","AT1G33750","1",12233769,12236476,2708,"+","12233769-12236476"
"4780","AT1G33760","1",12237878,12238598,721,"+","12237878-12238598"
"4781","AT1G33770","1",12242126,12244462,2337,"+","12242126-12244462"
"4782","AT1G33780","1",12244585,12246188,1604,"-","12244585-12246188"
"4783","AT1G33785","1",12255360,12256256,897,"-","12255360-12256256"
"4784","AT1G33790","1",12256664,12260575,3912,"+","12256664-12260575"
"4786","AT1G33800","1",12261419,12262717,1299,"+","12261419-12262717"
"4787","AT1G33810","1",12265033,12266847,1815,"+","12265033-12266847"
"4788","AT1G33811","1",12267866,12269913,2048,"+","12267866-12269913"
"4789","AT1G33813","1",12273243,12274646,1404,"-","12273243-12274646"
"4790","AT1G33817","1",12274982,12276763,1782,"-","12274982-12276763"
"4791","AT1G33820","1",12278438,12279451,1014,"-","12278438-12279451"
"4792","AT1G33830","1",12279947,12281406,1460,"-","12279947-12281406"
"4793","AT1G33835","1",12281847,12282297,451,"+","12281847-12282297"
"4794","AT1G33840","1",12283862,12285306,1445,"-","12283862-12285306"
"4795","AT1G33850","1",12287913,12288210,298,"-","12287913-12288210"
"4796","AT1G33855","1",12291258,12292501,1244,"+","12291258-12292501"
"4797","AT1G33860","1",12294394,12295305,912,"+","12294394-12295305"
"4799","AT1G33870","1",12301325,12302467,1143,"-","12301325-12302467"
"4800","AT1G33880","1",12303862,12304911,1050,"-","12303862-12304911"
"4801","AT1G33890","1",12308284,12309686,1403,"-","12308284-12309686"
"4802","AT1G33900","1",12311518,12313518,2001,"-","12311518-12313518"
"4803","AT1G33910","1",12314904,12316258,1355,"+","12314904-12316258"
"4804","AT1G33920","1",12319905,12320870,966,"+","12319905-12320870"
"4805","AT1G33925","1",12322574,12322753,180,"+","12322574-12322753"
"4806","AT1G33930","1",12323888,12327084,3197,"+","12323888-12327084"
"4807","AT1G33940","1",12330576,12332785,2210,"-","12330576-12332785"
"4809","AT1G33950","1",12333046,12339182,6137,"-","12333046-12339182"
"4811","AT1G33960","1",12346232,12348513,2282,"+","12346232-12348513"
"4815","AT1G33970","1",12349463,12351203,1741,"-","12349463-12351203"
"4817","AT1G33980","1",12351593,12355023,3431,"+","12351593-12355023"
"4819","AT1G33990","1",12355568,12358031,2464,"+","12355568-12358031"
"4820","AT1G34000","1",12357910,12358966,1057,"-","12357910-12358966"
"4821","AT1G34010","1",12359536,12361189,1654,"-","12359536-12361189"
"4822","AT1G34020","1",12366854,12369178,2325,"+","12366854-12369178"
"4823","AT1G34030","1",12370065,12371553,1489,"-","12370065-12371553"
"4824","AT1G34040","1",12374433,12376179,1747,"+","12374433-12376179"
"4825","AT1G34041","1",12378033,12378188,156,"+","12378033-12378188"
"4826","AT1G34042","1",12379427,12379687,261,"-","12379427-12379687"
"4827","AT1G34044","1",12386219,12387342,1124,"+","12386219-12387342"
"4828","AT1G34046","1",12388595,12389447,853,"+","12388595-12389447"
"4829","AT1G34047","1",12390238,12390915,678,"-","12390238-12390915"
"4831","AT1G34050","1",12393495,12396006,2512,"+","12393495-12396006"
"4832","AT1G34060","1",12396420,12398369,1950,"-","12396420-12398369"
"4833","AT1G34065","1",12398435,12401036,2602,"-","12398435-12401036"
"4834","AT1G34070","1",12402283,12403209,927,"+","12402283-12403209"
"4835","AT1G34080","1",12403277,12406628,3352,"-","12403277-12406628"
"4836","AT1G34090","1",12407268,12409879,2612,"+","12407268-12409879"
"4837","AT1G34095","1",12411670,12412514,845,"-","12411670-12412514"
"4838","AT1G34097","1",12412782,12415386,2605,"+","12412782-12415386"
"4839","AT1G34100","1",12415544,12417172,1629,"+","12415544-12417172"
"4840","AT1G34110","1",12417176,12421523,4348,"-","12417176-12421523"
"4843","AT1G34120","1",12426798,12429695,2898,"+","12426798-12429695"
"4844","AT1G34130","1",12429890,12433187,3298,"+","12429890-12433187"
"4845","AT1G34140","1",12433356,12434735,1380,"-","12433356-12434735"
"4846","AT1G34150","1",12435954,12439499,3546,"+","12435954-12439499"
"4847","AT1G34160","1",12441393,12443256,1864,"+","12441393-12443256"
"4848","AT1G34170","1",12443547,12446764,3218,"-","12443547-12446764"
"4851","AT1G34180","1",12448567,12451287,2721,"+","12448567-12451287"
"4853","AT1G34190","1",12451451,12454142,2692,"+","12451451-12454142"
"4854","AT1G34200","1",12455708,12457412,1705,"+","12455708-12457412"
"4855","AT1G34210","1",12458670,12462905,4236,"+","12458670-12462905"
"4856","AT1G34220","1",12462849,12466000,3152,"-","12462849-12466000"
"4858","AT1G34230","1",12466962,12467841,880,"-","12466962-12467841"
"4859","AT1G34240","1",12470418,12471252,835,"+","12470418-12471252"
"4860","AT1G34245","1",12472868,12473754,887,"+","12472868-12473754"
"4861","AT1G34250","1",12483164,12483634,471,"-","12483164-12483634"
"4862","AT1G34260","1",12485967,12492169,6203,"+","12485967-12492169"
"4863","AT1G34270","1",12492411,12494544,2134,"-","12492411-12494544"
"4864","AT1G34280","1",12495142,12495381,240,"-","12495142-12495381"
"4865","AT1G34281","1",12495726,12496038,313,"-","12495726-12496038"
"4866","AT1G34290","1",12498000,12498800,801,"+","12498000-12498800"
"4867","AT1G34300","1",12503406,12506048,2643,"+","12503406-12506048"
"4868","AT1G34310","1",12508548,12511520,2973,"-","12508548-12511520"
"4869","AT1G34315","1",12514106,12516521,2416,"-","12514106-12516521"
"4870","AT1G34320","1",12520179,12524370,4192,"+","12520179-12524370"
"4871","AT1G34330","1",12528095,12529132,1038,"+","12528095-12529132"
"4872","AT1G34340","1",12530827,12534162,3336,"+","12530827-12534162"
"4874","AT1G34350","1",12534429,12536095,1667,"+","12534429-12536095"
"4875","AT1G34355","1",12536497,12541891,5395,"+","12536497-12541891"
"4876","AT1G34360","1",12542863,12546172,3310,"+","12542863-12546172"
"4878","AT1G34370","1",12550452,12552629,2178,"+","12550452-12552629"
"4880","AT1G34380","1",12552655,12554338,1684,"-","12552655-12554338"
"4882","AT1G34390","1",12556005,12559082,3078,"+","12556005-12559082"
"4883","AT1G34392","1",12560460,12561315,856,"-","12560460-12561315"
"4884","AT1G34400","1",12565992,12566615,624,"-","12565992-12566615"
"4885","AT1G34405","1",12570841,12572126,1286,"-","12570841-12572126"
"4886","AT1G34410","1",12577722,12580824,3103,"+","12577722-12580824"
"4887","AT1G34418","1",12582122,12582721,600,"+","12582122-12582721"
"4888","AT1G34419","1",12583039,12583206,168,"-","12583039-12583206"
"4889","AT1G34420","1",12584587,12587570,2984,"+","12584587-12587570"
"4890","AT1G34430","1",12587752,12590192,2441,"-","12587752-12590192"
"4891","AT1G34440","1",12591348,12592737,1390,"-","12591348-12592737"
"4892","AT1G34460","1",12595110,12599628,4519,"+","12595110-12599628"
"4894","AT1G34470","1",12604300,12607033,2734,"+","12604300-12607033"
"4895","AT1G34480","1",12607276,12609084,1809,"+","12607276-12609084"
"4896","AT1G34490","1",12609482,12610495,1014,"+","12609482-12610495"
"4897","AT1G34500","1",12611638,12612663,1026,"+","12611638-12612663"
"4898","AT1G34510","1",12615733,12617032,1300,"-","12615733-12617032"
"4899","AT1G34520","1",12623477,12624487,1011,"+","12623477-12624487"
"4900","AT1G34530","1",12627875,12630008,2134,"+","12627875-12630008"
"4901","AT1G34540","1",12637054,12638550,1497,"+","12637054-12638550"
"4902","AT1G34545","1",12641081,12642418,1338,"-","12641081-12642418"
"4903","AT1G34550","1",12646696,12652646,5951,"-","12646696-12652646"
"4904","AT1G34560","1",12653961,12654677,717,"+","12653961-12654677"
"4905","AT1G34570","1",12654940,12656486,1547,"-","12654940-12656486"
"4906","AT1G34575","1",12657149,12658732,1584,"-","12657149-12658732"
"4907","AT1G34580","1",12660551,12663870,3320,"+","12660551-12663870"
"4908","AT1G34590","1",12665167,12667818,2652,"+","12665167-12667818"
"4909","AT1G34600","1",12668425,12673094,4670,"-","12668425-12673094"
"4910","AT1G34610","1",12675584,12679303,3720,"+","12675584-12679303"
"4911","AT1G34620","1",12680938,12684547,3610,"-","12680938-12684547"
"4912","AT1G34630","1",12685200,12687641,2442,"+","12685200-12687641"
"4914","AT1G34640","1",12687552,12688543,992,"-","12687552-12688543"
"4915","AT1G34650","1",12692995,12697834,4840,"+","12692995-12697834"
"4916","AT1G34660","1",12699872,12701377,1506,"+","12699872-12701377"
"4917","AT1G34670","1",12709128,12710423,1296,"+","12709128-12710423"
"4918","AT1G34680","1",12711181,12711455,275,"+","12711181-12711455"
"4919","AT1G34690","1",12713190,12713570,381,"+","12713190-12713570"
"4920","AT1G34700","1",12714209,12717181,2973,"+","12714209-12717181"
"4921","AT1G34710","1",12717730,12718678,949,"+","12717730-12718678"
"4922","AT1G34720","1",12719357,12719887,531,"-","12719357-12719887"
"4923","AT1G34730","1",12720886,12721377,492,"-","12720886-12721377"
"4924","AT1G34740","1",12722224,12728189,5966,"-","12722224-12728189"
"4925","AT1G34750","1",12736092,12738196,2105,"-","12736092-12738196"
"4927","AT1G34760","1",12743848,12745648,1801,"-","12743848-12745648"
"4928","AT1G34770","1",12746486,12748614,2129,"+","12746486-12748614"
"4929","AT1G34780","1",12748571,12750383,1813,"-","12748571-12750383"
"4931","AT1G34790","1",12763902,12765638,1737,"+","12763902-12765638"
"4932","AT1G34792","1",12766263,12766651,389,"-","12766263-12766651"
"4933","AT1G34795","1",12769644,12770131,488,"-","12769644-12770131"
"4934","AT1G34797","1",12771928,12772219,292,"+","12771928-12772219"
"4935","AT1G34800","1",12773164,12773442,279,"-","12773164-12773442"
"4936","AT1G34803","1",12775342,12775633,292,"+","12775342-12775633"
"4937","AT1G34805","1",12776578,12776856,279,"-","12776578-12776856"
"4938","AT1G34808","1",12778756,12779047,292,"+","12778756-12779047"
"4939","AT1G34810","1",12779992,12780270,279,"-","12779992-12780270"
"4940","AT1G34813","1",12782171,12782462,292,"+","12782171-12782462"
"4941","AT1G34815","1",12783406,12783684,279,"-","12783406-12783684"
"4942","AT1G34818","1",12785581,12785872,292,"+","12785581-12785872"
"4943","AT1G34820","1",12786817,12787095,279,"-","12786817-12787095"
"4944","AT1G34823","1",12788995,12789286,292,"+","12788995-12789286"
"4945","AT1G34825","1",12790122,12790605,484,"-","12790122-12790605"
"4946","AT1G34828","1",12792409,12792700,292,"+","12792409-12792700"
"4947","AT1G34830","1",12793536,12794023,488,"-","12793536-12794023"
"4948","AT1G34836","1",12795824,12796115,292,"+","12795824-12796115"
"4949","AT1G34840","1",12796984,12797247,264,"-","12796984-12797247"
"4950","AT1G34842","1",12751190,12752376,1187,"-","12751190-12752376"
"4951","AT1G34844","1",12751268,12752617,1350,"+","12751268-12752617"
"4952","AT1G34850","1",12800308,12800571,264,"-","12800308-12800571"
"4953","AT1G34860","1",12803708,12803986,279,"-","12803708-12803986"
"4954","AT1G34904","1",12753487,12754922,1436,"+","12753487-12754922"
"4955","AT1G34910","1",12804834,12805334,501,"+","12804834-12805334"
"4956","AT1G34930","1",12807121,12807399,279,"-","12807121-12807399"
"4957","AT1G34967","1",12755620,12759846,4227,"+","12755620-12759846"
"4958","AT1G35030","1",12808246,12809481,1236,"+","12808246-12809481"
"4959","AT1G35035","1",12811030,12811308,279,"-","12811030-12811308"
"4960","AT1G35040","1",12812157,12812569,413,"+","12812157-12812569"
"4961","AT1G35050","1",12814081,12816016,1936,"+","12814081-12816016"
"4962","AT1G35060","1",12820034,12822787,2754,"+","12820034-12822787"
"4963","AT1G35080","1",12826125,12828202,2078,"-","12826125-12828202"
"4964","AT1G35090","1",12828873,12829881,1009,"-","12828873-12829881"
"4965","AT1G35100","1",12830552,12831339,788,"+","12830552-12831339"
"4966","AT1G35110","1",12833398,12840997,7600,"-","12833398-12840997"
"4967","AT1G35112","1",12840228,12841118,891,"-","12840228-12841118"
"4968","AT1G35115","1",12842158,12845455,3298,"+","12842158-12845455"
"4969","AT1G35120","1",12846097,12846425,329,"-","12846097-12846425"
"4970","AT1G35130","1",12848822,12849507,686,"+","12848822-12849507"
"4971","AT1G35140","1",12851997,12853128,1132,"+","12851997-12853128"
"4972","AT1G35143","1",12855008,12855133,126,"-","12855008-12855133"
"4973","AT1G35146","1",12856198,12860244,4047,"-","12856198-12860244"
"4974","AT1G35150","1",12864158,12866238,2081,"-","12864158-12866238"
"4976","AT1G35160","1",12867181,12868793,1613,"+","12867181-12868793"
"4977","AT1G35170","1",12870738,12872194,1457,"-","12870738-12872194"
"4978","AT1G35180","1",12877107,12878719,1613,"-","12877107-12878719"
"4979","AT1G35181","1",12879306,12879470,165,"+","12879306-12879470"
"4980","AT1G35183","1",12884438,12884590,153,"+","12884438-12884590"
"4981","AT1G35186","1",12885606,12886983,1378,"-","12885606-12886983"
"4982","AT1G35190","1",12890423,12892874,2452,"+","12890423-12892874"
"4984","AT1G35200","1",12893339,12893747,409,"-","12893339-12893747"
"4985","AT1G35210","1",12896652,12897402,751,"-","12896652-12897402"
"4986","AT1G35220","1",12908914,12914802,5889,"+","12908914-12914802"
"4987","AT1G35230","1",12917149,12917763,615,"+","12917149-12917763"
"4988","AT1G35240","1",12927457,12930523,3067,"-","12927457-12930523"
"4989","AT1G35242","1",12931244,12931396,153,"+","12931244-12931396"
"4990","AT1G35250","1",12932941,12934479,1539,"-","12932941-12934479"
"4991","AT1G35255","1",12935647,12936553,907,"-","12935647-12936553"
"4992","AT1G35260","1",12936849,12937787,939,"-","12936849-12937787"
"4993","AT1G35270","1",12939579,12941565,1987,"-","12939579-12941565"
"4994","AT1G35280","1",12944137,12946494,2358,"+","12944137-12946494"
"4995","AT1G35290","1",12947544,12948841,1298,"-","12947544-12948841"
"4996","AT1G35300","1",12950376,12952882,2507,"+","12950376-12952882"
"4997","AT1G35310","1",12956159,12957090,932,"-","12956159-12957090"
